District,Ward,"Geos(String format: Long,Lat)",Google map link,Open for FD Zones?,
Củ Chi,Phước Vĩnh Anh,"[106.496543884277,10.9854316711426 106.499282836914,10.9897899627685 106.515533447266,11.007170677185 106.517677307129,11.0054054260254 106.518821716309,11.0033922195435 106.522178649902,11.002947807312 106.531715393066,10.9969854354859 106.538619995117,10.9955234527588 106.537780761719,10.9936189651489 106.538581848145,10.9922037124634 106.537796020508,10.9893150329591 106.53768157959,10.9839067459106 106.543212890625,10.9778985977173 106.54566192627,10.9769392013549 106.543258666992,10.9751815795898 106.542144775391,10.975323677063 106.539360046387,10.9692964553834 106.539947509766,10.9653816223145 106.538879394531,10.9615850448608 106.53475189209,10.9587984085084 106.529739379883,10.9569187164307 106.521896362305,10.9654035568238 106.520584106445,10.9638481140137 106.519905090332,10.9643802642822 106.517776489258,10.9617328643799 106.50789642334,10.972056388855 106.508575439453,10.9735174179078 106.506042480469,10.9761781692506 106.503158569336,10.9779624938965 106.504974365234,10.9795141220092 106.499374389648,10.9843130111694 106.496543884277,10.9854316711426]",,Not open,
Củ Chi,Tân An Hội,"[106.453514099121,10.9418802261353 106.443725585938,10.9493751525879 106.458396911621,10.9683923721314 106.460464477539,10.9697408676149 106.463439941406,10.9780340194702 106.463722229004,10.9821033477783 106.462516784668,10.9829788208007 106.464256286621,10.9870405197145 106.465469360352,10.9870805740358 106.465972900391,10.988865852356 106.468452453613,10.9884595870972 106.467796325684,10.9889478683473 106.468597412109,10.9901714324951 106.46964263916,10.9904146194458 106.469390869141,10.9912071228028 106.470390319824,10.9907646179199 106.470481872559,10.9920377731323 106.471168518066,10.992244720459 106.475074768066,10.9898576736451 106.476470947266,10.9900846481324 106.47834777832,10.9893169403077 106.478118896484,10.9900445938111 106.479751586914,10.9891576766968 106.479797363281,10.9872970581055 106.483932495117,10.9873886108398 106.483963012695,10.9865465164185 106.486373901367,10.9865989685059 106.485908508301,10.998278617859 106.491081237793,10.9963893890381 106.491172790527,10.9994277954102 106.489707946777,11.007700920105 106.494171142578,11.0089902877807 106.496940612793,11.0076780319214 106.498138427734,11.0078144073486 106.5,11.0089244842529 106.501518249512,11.0078296661376 106.505195617676,11.0086946487427 106.515533447266,11.007170677185 106.499282836914,10.9897899627685 106.496543884277,10.9854316711426 106.492980957031,10.9798812866212 106.48942565918,10.9811897277832 106.489356994629,10.9790859222413 106.487915039062,10.9770107269287 106.486587524414,10.9766216278077 106.486541748047,10.9745416641236 106.482063293457,10.9759769439697 106.479598999023,10.9698781967164 106.486968994141,10.9663314819337 106.493835449219,10.9644937515258 106.494667053223,10.9650449752808 106.499839782715,10.96217918396 106.498176574707,10.9605998992921 106.499008178711,10.9596948623658 106.499443054199,10.9568252563478 106.498374938965,10.9561491012573 106.49942779541,10.95641040802 106.500770568848,10.9546051025391 106.498069763184,10.9502563476563 106.497718811035,10.947512626648 106.498634338379,10.9472761154175 106.48738861084,10.9250612258912 106.453514099121,10.9418802261353]",,Not open,
Củ Chi,Tân Phú Trung,"[106.518104553223,10.9183120727538 106.520004272461,10.9254055023194 106.524795532227,10.9343147277832 106.523674011231,10.9402656555176 106.52555847168,10.9413080215455 106.526374816895,10.9410514831544 106.52954864502,10.9448242187499 106.532089233398,10.9463710784912 106.533218383789,10.9486093521119 106.533210754395,10.9512224197389 106.534370422363,10.9519023895264 106.529739379883,10.9569187164307 106.53475189209,10.9587984085084 106.538879394531,10.9615850448608 106.539947509766,10.9653816223145 106.539360046387,10.9692964553834 106.542144775391,10.975323677063 106.543258666992,10.9751815795898 106.54566192627,10.9769392013549 106.56226348877,10.970419883728 106.56413269043,10.9685850143433 106.575592041016,10.9464645385743 106.580413818359,10.9342041015625 106.583511352539,10.9287319183351 106.581481933594,10.9293003082275 106.581573486328,10.9260768890382 106.582664489746,10.9249420166017 106.584373474121,10.9196376800537 106.572547912598,10.9197301864625 106.564247131348,10.9189777374268 106.563087463379,10.918173789978 106.561393737793,10.9168910980226 106.538185119629,10.9159374237062 106.518104553223,10.9183120727538]",,Not open,
Củ Chi,Tân Thạnh Đông,"[106.56226348877,10.970419883728 106.570877075195,10.9753980636598 106.573448181152,10.9725732803345 106.580657958984,10.9779853820801 106.577514648438,10.9813413619995 106.576499938965,10.9837083816528 106.59423828125,10.982521057129 106.593063354492,10.9757766723633 106.59774017334,10.9748487472534 106.610618591309,10.9745321273805 106.610374450684,10.9722118377687 106.608726501465,10.9719820022584 106.608680725098,10.9676799774169 106.609741210938,10.9642267227173 106.610443115234,10.9641046524049 106.609237670898,10.960223197937 106.61408996582,10.9594917297363 106.614532470703,10.9605169296265 106.615631103516,10.9608230590821 106.624351501465,10.9575920104981 106.625587463379,10.9520168304444 106.625328063965,10.9491834640503 106.602783203125,10.9229116439819 106.601211547852,10.9230489730836 106.583511352539,10.9287319183351 106.580413818359,10.9342041015625 106.575592041016,10.9464645385743 106.56413269043,10.9685850143433 106.56226348877,10.970419883728]",,Not open,
Củ Chi,Tân Thạnh Tây,"[106.56226348877,10.970419883728 106.54566192627,10.9769392013549 106.543212890625,10.9778985977173 106.53768157959,10.9839067459106 106.537796020508,10.9893150329591 106.538581848145,10.9922037124634 106.537780761719,10.9936189651489 106.538619995117,10.9955234527588 106.540687561035,10.9950084686279 106.542152404785,10.9958295822143 106.54296875,10.9953174591065 106.546325683594,10.9966316223145 106.553672790527,11.0048389434814 106.555358886719,11.0059242248536 106.558074951172,11.0012521743775 106.563186645508,11.0045156478881 106.566665649414,11.0057888031007 106.576499938965,10.9837083816528 106.577514648438,10.9813413619995 106.580657958984,10.9779853820801 106.573448181152,10.9725732803345 106.570877075195,10.9753980636598 106.56226348877,10.970419883728]",,Not open,
Củ Chi,Tân Thông Hội,"[106.496002197266,10.9208374023438 106.48851776123,10.924527168274 106.48738861084,10.9250612258912 106.498634338379,10.9472761154175 106.497718811035,10.947512626648 106.498069763184,10.9502563476563 106.500770568848,10.9546051025391 106.49942779541,10.95641040802 106.498374938965,10.9561491012573 106.499443054199,10.9568252563478 106.499008178711,10.9596948623658 106.498176574707,10.9605998992921 106.499839782715,10.96217918396 106.50025177002,10.9680070877076 106.499702453613,10.9682397842408 106.499771118164,10.9699926376342 106.500106811524,10.9706363677978 106.50178527832,10.9700326919555 106.503044128418,10.9725017547607 106.501930236816,10.9738445281982 106.503379821777,10.9744911193847 106.502670288086,10.9759130477905 106.505401611328,10.9747734069825 106.506042480469,10.9761781692506 106.508575439453,10.9735174179078 106.50789642334,10.972056388855 106.517776489258,10.9617328643799 106.519905090332,10.9643802642822 106.520584106445,10.9638481140137 106.521896362305,10.9654035568238 106.529739379883,10.9569187164307 106.534370422363,10.9519023895264 106.533210754395,10.9512224197389 106.533218383789,10.9486093521119 106.532089233398,10.9463710784912 106.52954864502,10.9448242187499 106.526374816895,10.9410514831544 106.52555847168,10.9413080215455 106.523674011231,10.9402656555176 106.524795532227,10.9343147277832 106.520004272461,10.9254055023194 106.518104553223,10.9183120727538 106.496002197266,10.9208374023438]",,Not open,
Củ Chi,Thái Mỹ,"[106.426078796387,10.9630613327026 106.411445617676,10.973843574524 106.372970581055,10.9697437286377 106.36173248291,10.9846839904786 106.356674194336,10.9916191101075 106.360305786133,10.9946632385255 106.359962463379,10.9953184127808 106.36206817627,10.996241569519 106.363250732422,10.9976682662964 106.36360168457,10.9972677230834 106.36695098877,10.9987049102783 106.377250671387,11.0004272460938 106.380737304688,10.9984045028686 106.392036437988,10.9997911453248 106.405288696289,11.0037984848022 106.40633392334,11.0062131881714 106.410522460938,11.0074138641357 106.412818908691,11.0089359283448 106.416145324707,11.0007076263428 106.420669555664,10.996376991272 106.42505645752,10.9940967559814 106.428367614746,10.9885969161987 106.433143615723,10.9798984527588 106.432586669922,10.9790601730347 106.433349609375,10.9788818359376 106.432777404785,10.9745922088623 106.432151794434,10.974802017212 106.428665161133,10.9666051864624 106.426078796387,10.9630613327026]",,Not open,
Củ Chi,Trung An,"[106.566665649414,11.0057888031007 106.566047668457,11.0069999694825 106.581199645996,11.0153722763061 106.578025817871,11.0187644958496 106.579559326172,11.0219945907593 106.578605651856,11.0229949951173 106.578330993652,11.026418685913 106.580116271973,11.0282478332521 106.579551696777,11.029595375061 106.577644348145,11.029546737671 106.577590942383,11.0308771133422 106.578109741211,11.0329122543336 106.579391479492,11.0346984863281 106.580711364746,11.034860610962 106.582160949707,11.0361337661744 106.58277130127,11.0382146835328 106.586486816406,11.0364065170288 106.591041564941,11.0369052886963 106.592811584473,11.0432357788087 106.596183776856,11.0457534790039 106.600227355957,11.0447483062745 106.602996826172,11.0411062240602 106.603294372559,11.0395736694337 106.595565795898,11.0299768447876 106.595191955566,11.0256509780884 106.597511291504,11.0168323516846 106.599311828613,11.0146369934083 106.608345031738,11.0118370056153 106.61589050293,11.0114850997925 106.617500305176,11.0110216140748 106.620056152344,11.0081624984741 106.621307373047,11.0036773681641 106.621017456055,11.0018796920778 106.616683959961,10.994041442871 106.613777160645,10.9946651458741 106.611938476562,10.9962339401245 106.609786987305,10.994029045105 106.607704162598,10.9954471588135 106.607131958008,10.9966945648193 106.60521697998,10.9966630935669 106.604705810547,10.9960098266602 106.601921081543,10.9968252182008 106.599189758301,10.9937686920166 106.597869873047,10.9909925460816 106.598991394043,10.9875450134278 106.598320007324,10.9863748550416 106.595893859863,10.9871025085449 106.594017028809,10.9864997863769 106.594795227051,10.982626914978 106.59423828125,10.982521057129 106.576499938965,10.9837083816528 106.566665649414,11.0057888031007]",,Not open,
Củ Chi,Trung Lập Hạ,"[106.489707946777,11.007700920105 106.491172790527,10.9994277954102 106.491081237793,10.9963893890381 106.485908508301,10.998278617859 106.486373901367,10.9865989685059 106.483963012695,10.9865465164185 106.483932495117,10.9873886108398 106.479797363281,10.9872970581055 106.479751586914,10.9891576766968 106.478118896484,10.9900445938111 106.47834777832,10.9893169403077 106.476470947266,10.9900846481324 106.475074768066,10.9898576736451 106.471168518066,10.992244720459 106.470825195313,10.9934806823731 106.468673706055,10.9930152893066 106.467025756836,11.0005064010621 106.464195251465,11.0008125305175 106.464515686035,11.0044775009156 106.465377807617,11.0048303604127 106.46590423584,11.0063800811768 106.462799072266,11.0079851150513 106.464431762695,11.0110607147217 106.464363098145,11.0130071640015 106.463073730469,11.0145874023439 106.461410522461,11.0136728286744 106.455474853516,11.0152692794801 106.450492858887,11.0156345367431 106.447654724121,11.0154485702515 106.446273803711,11.0192155838013 106.444869995117,11.0196323394777 106.444305419922,11.0209188461303 106.439643859863,11.022933959961 106.44465637207,11.032081604004 106.454811096191,11.0409870147706 106.45524597168,11.0488271713257 106.456832885742,11.0546426773072 106.458274841309,11.0516328811646 106.461753845215,11.048454284668 106.465217590332,11.0465927124024 106.467979431152,11.046148300171 106.470779418945,11.0433568954468 106.472297668457,11.040189743042 106.471839904785,11.0375003814698 106.472305297852,11.0327634811402 106.476005554199,11.0266017913818 106.477165222168,11.022822380066 106.47713470459,11.0183553695679 106.479293823242,11.0134096145631 106.484512329102,11.0071716308595 106.486152648926,11.0068035125732 106.489707946777,11.007700920105]",,Not open,
Củ Chi,Trung Lập Thượng,"[106.423355102539,11.04541015625 106.422592163086,11.0465860366821 106.424308776856,11.0471115112305 106.424324035645,11.0477838516236 106.420349121094,11.0519218444824 106.420631408691,11.0530338287353 106.421325683594,11.0552835464477 106.420539855957,11.0582342147828 106.422271728516,11.0591382980348 106.420692443848,11.0610961914063 106.421577453613,11.0618953704833 106.420188903809,11.0633640289307 106.421081542969,11.0645837783815 106.42073059082,11.0651359558105 106.421798706055,11.0662908554078 106.425750732422,11.0665588378906 106.425231933594,11.0688114166261 106.427352905273,11.0740146636962 106.426025390625,11.0779457092286 106.426544189453,11.0841379165649 106.425971984863,11.0916194915773 106.430847167969,11.09206199646 106.43155670166,11.0982904434205 106.432289123535,11.098292350769 106.433090209961,11.1003017425537 106.43384552002,11.1002225875854 106.437408447266,11.1099014282227 106.444053649902,11.1039867401124 106.444793701172,11.1043739318847 106.447036743164,11.0992670059205 106.445266723633,11.0970888137818 106.451820373535,11.0821981430054 106.451286315918,11.079345703125 106.452095031738,11.0726251602174 106.455696105957,11.0603017807007 106.45581817627,11.0562391281129 106.456832885742,11.0546426773072 106.45524597168,11.0488271713257 106.454811096191,11.0409870147706 106.44465637207,11.032081604004 106.439643859863,11.022933959961 106.433044433594,11.0265474319459 106.432678222656,11.0288524627687 106.43359375,11.0290336608886 106.433837890625,11.0299940109253 106.432441711426,11.0307664871217 106.432388305664,11.0337419509888 106.431434631348,11.0337810516358 106.431648254394,11.0378952026368 106.43091583252,11.039044380188 106.427925109863,11.0378227233886 106.426246643066,11.0398511886598 106.42643737793,11.0414419174195 106.425819396973,11.0414838790894 106.423355102539,11.04541015625]",,Not open,
Hóc Môn,Hóc Môn,"[106.598487854004,10.8835000991821 106.593902587891,10.881950378418 106.592521667481,10.8787145614625 106.59139251709,10.8777828216554 106.584625244141,10.8874425888062 106.583946228027,10.8884162902833 106.585968017578,10.8887729644777 106.587013244629,10.8909692764283 106.589050292969,10.8922538757325 106.59107208252,10.8910284042358 106.593414306641,10.8910875320435 106.594665527344,10.8929786682129 106.597991943359,10.8925695419312 106.598937988281,10.892276763916 106.598152160644,10.8893671035767 106.600540161133,10.8890180587768 106.600151062012,10.8880281448365 106.602424621582,10.8876914978028 106.600959777832,10.8845348358154 106.598541259766,10.8848018646241 106.598487854004,10.8835000991821]","https://www.google.com/maps/place/H%C3%B3c+M%C3%B4n,+Ho+Chi+Minh+City,+Vietnam/@10.8776975,106.5236242,12z/data=!3m1!4b1!4m5!3m4!1s0x31752a742dabfd33:0xd99a9f06eac63692!8m2!3d10.8839675!4d106.5870611",Not open,0
Hóc Môn,Bà Điểm,"[106.579086303711,10.8355026245118 106.580047607422,10.836974143982 106.58821105957,10.8429403305055 106.592872619629,10.8457527160644 106.59415435791,10.8458490371705 106.594467163086,10.8515329360963 106.596832275391,10.8561525344849 106.598892211914,10.8579711914063 106.601860046387,10.8574810028076 106.601631164551,10.8565425872803 106.604141235352,10.8554735183717 106.60620880127,10.8568773269653 106.607231140137,10.855320930481 106.615325927734,10.8427934646607 106.607757568359,10.8355798721313 106.604286193848,10.8296756744384 106.603324890137,10.8263015747071 106.600456237793,10.8260736465454 106.59375,10.8278484344484 106.595169067383,10.8297920227051 106.593078613281,10.829384803772 106.590950012207,10.8318347930908 106.587814331055,10.8328123092651 106.582000732422,10.8327741622925 106.579086303711,10.8355026245118]",,Not open,
Hóc Môn,Đông Thạnh,"[106.670570373535,10.9011726379395 106.670509338379,10.8973064422607 106.668991088867,10.8918571472169 106.667388916016,10.8917140960694 106.663352966309,10.8930072784423 106.653869628906,10.8918733596803 106.653213500977,10.8917980194092 106.652542114258,10.8930044174195 106.652313232422,10.894781112671 106.649391174316,10.895302772522 106.646896362305,10.8947849273682 106.643188476562,10.893804550171 106.642364501953,10.8923015594484 106.631774902344,10.8917064666749 106.629219055176,10.8864345550537 106.626991271973,10.8846187591553 106.623580932617,10.8885278701783 106.62353515625,10.8896017074586 106.621894836426,10.8899192810059 106.622047424316,10.8952579498292 106.619010925293,10.8973999023438 106.619903564453,10.8994493484498 106.619415283203,10.9041147232056 106.620735168457,10.9079208374024 106.617546081543,10.9103145599365 106.617309570313,10.9127254486085 106.62174987793,10.9144849777222 106.630989074707,10.9163694381714 106.638916015625,10.9163064956665 106.646049499512,10.9199419021608 106.653160095215,10.919587135315 106.652236938477,10.9182167053222 106.653182983398,10.9176845550538 106.653907775879,10.9148292541504 106.65380859375,10.9116430282593 106.657279968262,10.908480644226 106.656661987305,10.9071798324586 106.65690612793,10.9042015075684 106.670570373535,10.9011726379395]",,Not open,
Hóc Môn,Nhị Bình,"[106.692749023438,10.9041719436646 106.68798828125,10.9012985229493 106.681510925293,10.8984365463258 106.679702758789,10.9036960601807 106.670570373535,10.9011726379395 106.65690612793,10.9042015075684 106.656661987305,10.9071798324586 106.657279968262,10.908480644226 106.65380859375,10.9116430282593 106.653907775879,10.9148292541504 106.653182983398,10.9176845550538 106.652236938477,10.9182167053222 106.653160095215,10.919587135315 106.655487060547,10.9216766357422 106.657234191895,10.9259357452393 106.66480255127,10.9218826293946 106.667907714844,10.9209423065185 106.680763244629,10.9235219955445 106.68489074707,10.9211397171021 106.69002532959,10.9111261367798 106.692749023438,10.9041719436646]",,Not open,
Hóc Môn,Tân Hiệp,"[106.617309570313,10.9127254486085 106.609367370606,10.9109287261962 106.605239868164,10.9093255996705 106.601676940918,10.9068422317505 106.600517272949,10.9068460464479 106.602081298828,10.8992671966553 106.597991943359,10.8925695419312 106.594665527344,10.8929786682129 106.593414306641,10.8910875320435 106.59107208252,10.8910284042358 106.589050292969,10.8922538757325 106.575698852539,10.9003067016602 106.563087463379,10.918173789978 106.564247131348,10.9189777374268 106.572547912598,10.9197301864625 106.584373474121,10.9196376800537 106.582664489746,10.9249420166017 106.581573486328,10.9260768890382 106.581481933594,10.9293003082275 106.583511352539,10.9287319183351 106.601211547852,10.9230489730836 106.600471496582,10.91774559021 106.62174987793,10.9144849777222 106.617309570313,10.9127254486085]",,Not open,
Hóc Môn,Tân Thới Nhì,"[106.589050292969,10.8922538757325 106.587013244629,10.8909692764283 106.585968017578,10.8887729644777 106.583946228027,10.8884162902833 106.584625244141,10.8874425888062 106.582618713379,10.8866767883301 106.582527160644,10.8855581283569 106.577217102051,10.8839340209962 106.564735412598,10.8873538970948 106.564422607422,10.8856000900269 106.562255859375,10.886300086975 106.549179077148,10.8963718414307 106.545379638672,10.8899106979371 106.532196044922,10.8975353240967 106.532928466797,10.9003553390503 106.531600952148,10.902645111084 106.496002197266,10.9208374023438 106.518104553223,10.9183120727538 106.538185119629,10.9159374237062 106.561393737793,10.9168910980226 106.563087463379,10.918173789978 106.575698852539,10.9003067016602 106.589050292969,10.8922538757325]",,Not open,
Hóc Môn,Tân Xuân,"[106.610778808594,10.8769187927247 106.608680725098,10.8746032714845 106.606910705567,10.8749370574952 106.606178283691,10.8719921112061 106.607307434082,10.871026992798 106.604652404785,10.8676261901857 106.604881286621,10.8653459548951 106.602905273438,10.8652048110962 106.601303100586,10.8637800216675 106.59139251709,10.8777828216554 106.592521667481,10.8787145614625 106.593902587891,10.881950378418 106.598487854004,10.8835000991821 106.600784301758,10.8839702606201 106.607688903809,10.8830080032349 106.610778808594,10.8769187927247]",,Not open,
Hóc Môn,Thới Tam Môn,"[106.598487854004,10.8835000991821 106.598541259766,10.8848018646241 106.600959777832,10.8845348358154 106.602424621582,10.8876914978028 106.600151062012,10.8880281448365 106.600540161133,10.8890180587768 106.598152160644,10.8893671035767 106.598937988281,10.892276763916 106.597991943359,10.8925695419312 106.602081298828,10.8992671966553 106.600517272949,10.9068460464479 106.601676940918,10.9068422317505 106.605239868164,10.9093255996705 106.609367370606,10.9109287261962 106.617309570313,10.9127254486085 106.617546081543,10.9103145599365 106.620735168457,10.9079208374024 106.619415283203,10.9041147232056 106.619903564453,10.8994493484498 106.619010925293,10.8973999023438 106.622047424316,10.8952579498292 106.621894836426,10.8899192810059 106.62353515625,10.8896017074586 106.623580932617,10.8885278701783 106.626991271973,10.8846187591553 106.625244140625,10.8831329345704 106.627876281738,10.8811588287355 106.624847412109,10.8771524429321 106.619422912598,10.8711881637574 106.614959716797,10.870325088501 106.610778808594,10.8769187927247 106.607688903809,10.8830080032349 106.600784301758,10.8839702606201 106.598487854004,10.8835000991821]",,Not open,
Hóc Môn,Trung Chánh,"[106.60620880127,10.8568773269653 106.601303100586,10.8637800216675 106.602905273438,10.8652048110962 106.604881286621,10.8653459548951 106.604652404785,10.8676261901857 106.607307434082,10.871026992798 106.606178283691,10.8719921112061 106.606910705567,10.8749370574952 106.608680725098,10.8746032714845 106.610778808594,10.8769187927247 106.614959716797,10.870325088501 106.615524291992,10.8673686981201 106.607231140137,10.855320930481 106.60620880127,10.8568773269653]",,Not open,
Hóc Môn,Xuân Thới Đông,"[106.60620880127,10.8568773269653 106.604141235352,10.8554735183717 106.601631164551,10.8565425872803 106.601860046387,10.8574810028076 106.598892211914,10.8579711914063 106.598838806152,10.858518600464 106.59797668457,10.8580884933473 106.596885681152,10.8609533309937 106.596115112305,10.8608283996582 106.595550537109,10.8633432388306 106.5947265625,10.8622522354127 106.589172363281,10.860019683838 106.589286804199,10.8591585159302 106.583473205566,10.85768699646 106.584365844727,10.8682518005371 106.583648681641,10.8711528778076 106.584823608398,10.875316619873 106.586601257324,10.8766412734985 106.590614318848,10.874981880188 106.59139251709,10.8777828216554 106.601303100586,10.8637800216675 106.60620880127,10.8568773269653]",,Not open,
Hóc Môn,Xuân Thới Sơn,"[106.525894165039,10.873631477356 106.532196044922,10.8975353240967 106.545379638672,10.8899106979371 106.549179077148,10.8963718414307 106.562255859375,10.886300086975 106.564422607422,10.8856000900269 106.564735412598,10.8873538970948 106.577217102051,10.8839340209962 106.582527160644,10.8855581283569 106.582618713379,10.8866767883301 106.584625244141,10.8874425888062 106.59139251709,10.8777828216554 106.590614318848,10.874981880188 106.586601257324,10.8766412734985 106.584823608398,10.875316619873 106.583648681641,10.8711528778076 106.584365844727,10.8682518005371 106.583473205566,10.85768699646 106.580543518066,10.8577518463135 106.577476501465,10.8596944808961 106.576698303223,10.8612480163574 106.577072143555,10.8654251098633 106.57576751709,10.8659420013428 106.575920104981,10.8670101165771 106.56909942627,10.8712711334229 106.56623840332,10.8716135025024 106.557968139648,10.8682546615601 106.534996032715,10.8718690872194 106.525894165039,10.873631477356]",,Not open,
Hóc Môn,Xuân Thới Thượng,"[106.579086303711,10.8355026245118 106.576568603516,10.8383798599244 106.575759887695,10.8426151275636 106.569244384766,10.8428173065186 106.564582824707,10.840765953064 106.56324005127,10.841381072998 106.562393188477,10.8447237014771 106.555946350098,10.8430280685426 106.545036315918,10.8447904586792 106.544639587402,10.8431835174561 106.52880859375,10.8475046157837 106.534996032715,10.8718690872194 106.557968139648,10.8682546615601 106.56623840332,10.8716135025024 106.56909942627,10.8712711334229 106.575920104981,10.8670101165771 106.57576751709,10.8659420013428 106.577072143555,10.8654251098633 106.576698303223,10.8612480163574 106.577476501465,10.8596944808961 106.580543518066,10.8577518463135 106.583473205566,10.85768699646 106.589286804199,10.8591585159302 106.589172363281,10.860019683838 106.5947265625,10.8622522354127 106.595550537109,10.8633432388306 106.596115112305,10.8608283996582 106.596885681152,10.8609533309937 106.59797668457,10.8580884933473 106.598838806152,10.858518600464 106.598892211914,10.8579711914063 106.596832275391,10.8561525344849 106.594467163086,10.8515329360963 106.59415435791,10.8458490371705 106.592872619629,10.8457527160644 106.58821105957,10.8429403305055 106.580047607422,10.836974143982 106.579086303711,10.8355026245118]",,Not open,
Bình Chánh,Tân Túc,"[106.553527832031,10.6753692626953 106.551574707031,10.6794357299805 106.550521850586,10.6854391098022 106.547630310059,10.6867647171021 106.547424316406,10.6869831085206 106.565567016602,10.6895866394043 106.570571899414,10.6917791366578 106.579864501953,10.6944398880005 106.584213256836,10.6954507827759 106.597328186035,10.7016906738281 106.596916198731,10.697180747986 106.593467712402,10.6865043640137 106.592132568359,10.6843309402466 106.580558776856,10.6739635467529 106.577880859375,10.6713275909425 106.576858520508,10.6733770370485 106.574577331543,10.672034263611 106.574066162109,10.6730918884278 106.570259094238,10.6728029251099 106.56950378418,10.6796770095825 106.566452026367,10.6782312393188 106.562408447266,10.6775445938111 106.562294006348,10.6746644973756 106.562812805176,10.6740913391113 106.561309814453,10.6734094619752 106.55834197998,10.6757278442383 106.554374694824,10.6759653091431 106.553527832031,10.6753692626953]","https://www.google.com/maps/place/B%C3%ACnh+Ch%C3%A1nh,+Ho+Chi+Minh+City,+Vietnam/@10.749544,106.4389009,11z/data=!3m1!4b1!4m5!3m4!1s0x31752d00551422a9:0x9d615ccac4d7af23!8m2!3d10.687392!4d106.5938538",Not open,0
Bình Chánh,An Phú Tây,"[106.623733520508,10.692982673645 106.622001647949,10.692165374756 106.61491394043,10.6774816513062 106.611450195313,10.67866897583 106.610260009766,10.6760063171387 106.606567382812,10.6740455627443 106.60514831543,10.6723909378051 106.60139465332,10.6741456985474 106.60009765625,10.6756277084352 106.601028442383,10.6787385940552 106.603485107422,10.6804199218751 106.60009765625,10.6811323165894 106.599395751953,10.6815395355226 106.600227355957,10.6820726394654 106.598960876465,10.6829633712769 106.597129821777,10.6827955245973 106.592132568359,10.6843309402466 106.593467712402,10.6865043640137 106.596916198731,10.697180747986 106.597328186035,10.7016906738281 106.597808837891,10.7018241882325 106.598922729492,10.6986503601075 106.601463317871,10.6951236724854 106.60481262207,10.6956968307496 106.609596252441,10.6954030990601 106.614891052246,10.6977605819703 106.618125915527,10.6977319717407 106.618560791016,10.6990308761598 106.620712280273,10.6997747421265 106.623733520508,10.692982673645]",,Not open,
Bình Chánh,Bình Chánh,"[106.555290222168,10.6523942947388 106.555938720703,10.6569614410401 106.54891204834,10.6574411392212 106.549270629883,10.6596517562866 106.550498962402,10.6590652465821 106.551635742188,10.6642646789551 106.553237915039,10.6661338806152 106.553588867188,10.6685371398927 106.552085876465,10.670639038086 106.553192138672,10.6718673706056 106.553527832031,10.6753692626953 106.554374694824,10.6759653091431 106.55834197998,10.6757278442383 106.561309814453,10.6734094619752 106.562812805176,10.6740913391113 106.562294006348,10.6746644973756 106.562408447266,10.6775445938111 106.566452026367,10.6782312393188 106.56950378418,10.6796770095825 106.570259094238,10.6728029251099 106.574066162109,10.6730918884278 106.574577331543,10.672034263611 106.576858520508,10.6733770370485 106.577880859375,10.6713275909425 106.580558776856,10.6739635467529 106.58415222168,10.6716699600221 106.582565307617,10.6712865829467 106.581985473633,10.6718950271607 106.579559326172,10.6700859069824 106.580459594727,10.6692276000976 106.582565307617,10.6694698333741 106.584266662598,10.6684379577637 106.584602355957,10.6642560958863 106.582954406738,10.6636419296266 106.582382202148,10.6624269485475 106.58317565918,10.6619272232056 106.583320617676,10.6554031372071 106.579750061035,10.656102180481 106.577919006348,10.6532697677612 106.578025817871,10.6518678665162 106.579551696777,10.6518678665162 106.579391479492,10.6503343582153 106.577003479004,10.6488676071168 106.575149536133,10.6498632431031 106.573394775391,10.6498126983642 106.573516845703,10.6541566848755 106.569046020508,10.6565113067627 106.566291809082,10.6564388275146 106.565299987793,10.6522932052613 106.563232421875,10.6521978378297 106.56315612793,10.6514368057252 106.559036254883,10.6518535614014 106.559204101563,10.6499137878418 106.558547973633,10.648627281189 106.557884216309,10.6485538482667 106.55744934082,10.6503829956055 106.555595397949,10.6509037017823 106.555290222168,10.6523942947388]",,Not open,
