District,Ward,"Geos(String format: Long,Lat)",Google map link,Open for FD Zones?,
Bình Thạnh,22,"[106.727310180664,10.7989358901977 106.726776123047,10.7936458587647 106.724090576172,10.7889661788941 106.721992492676,10.7873268127443 106.714393615723,10.7849054336548 106.713882446289,10.7868490219117 106.712409973144,10.7878208160401 106.713539123535,10.7902126312256 106.713439941406,10.7922191619873 106.713264465332,10.797064781189 106.714736938477,10.7988882064819 106.716201782227,10.798812866211 106.716270446777,10.8004264831544 106.721260070801,10.7979202270509 106.727310180664,10.7989358901977]",,Ok,
Bình Thạnh,24,"[106.701599121094,10.8038539886475 106.701637268066,10.804838180542 106.699638366699,10.8043622970581 106.698760986328,10.8066501617432 106.700035095215,10.8075275421144 106.707725524902,10.8082456588746 106.708335876465,10.8073148727418 106.708137512207,10.8056449890138 106.709999084473,10.8062505722046 106.711532592773,10.8056325912476 106.71142578125,10.8027982711791 106.702812194824,10.8035440444946 106.701599121094,10.8038539886475]",,Ok,
Bình Thạnh,25,"[106.711372375488,10.8014602661133 106.71142578125,10.8027982711791 106.711532592773,10.8056325912476 106.712265014648,10.8096399307251 106.717559814453,10.8143138885497 106.720504760742,10.8104419708252 106.722312927246,10.8098030090333 106.72314453125,10.8061428070068 106.727012634277,10.8003931045533 106.727310180664,10.7989358901977 106.721260070801,10.7979202270509 106.716270446777,10.8004264831544 106.711372375488,10.8014602661133]",,Ok,
Bình Thạnh,26,"[106.704833984375,10.8167362213135 106.708419799805,10.819585800171 106.709922790527,10.8171644210815 106.710647583008,10.8171157836915 106.711769104004,10.8179273605347 106.713188171387,10.8211736679078 106.714210510254,10.8207950592042 106.714691162109,10.8183259963989 106.717559814453,10.8143138885497 106.712265014648,10.8096399307251 106.711532592773,10.8056325912476 106.709999084473,10.8062505722046 106.708137512207,10.8056449890138 106.708335876465,10.8073148727418 106.707725524902,10.8082456588746 106.707740783691,10.8096866607666 106.704063415527,10.8109846115113 106.704193115234,10.8137712478638 106.705284118652,10.8151693344116 106.704833984375,10.8167362213135]",,Ok,
Bình Thạnh,27,"[106.725563049316,10.8167467117311 106.723426818848,10.8138065338136 106.722312927246,10.8098030090333 106.720504760742,10.8104419708252 106.717559814453,10.8143138885497 106.714691162109,10.8183259963989 106.714210510254,10.8207950592042 106.717155456543,10.8202581405639 106.723098754883,10.8209810256957 106.725563049316,10.8167467117311]",,Not open,
Bình Thạnh,28,"[106.747398376465,10.8335380554199 106.749160766602,10.8324203491212 106.75122833252,10.8281831741334 106.750984191895,10.8128776550294 106.748229980469,10.8096818923951 106.744438171387,10.8084478378296 106.74242401123,10.8085498809814 106.738136291504,10.8102245330811 106.73641204834,10.8127689361572 106.734848022461,10.8175678253174 106.733451843262,10.8191890716553 106.729965209961,10.8193597793579 106.725563049316,10.8167467117311 106.723098754883,10.8209810256957 106.729850769043,10.8241863250734 106.73233795166,10.8265123367309 106.736793518067,10.8335008621216 106.739852905274,10.8355255126954 106.747398376465,10.8335380554199]",,Not open,
Tân Bình,1,"[106.668464660645,10.7941551208497 106.665924072266,10.7910060882569 106.663986206055,10.7956295013427 106.665504455566,10.8003787994385 106.667152404785,10.8002443313599 106.667793273926,10.8001823425293 106.669906616211,10.7989225387574 106.668487548828,10.7982215881349 106.668464660645,10.7941551208497]","https://www.google.com/maps/place/Tan+Binh,+Ho+Chi+Minh+City,+Vietnam/@10.8035455,106.6181676,13z/data=!3m1!4b1!4m5!3m4!1s0x3175293818af3a73:0xcd8d16d1180acc8b!8m2!3d10.8014659!4d106.6525974",OK,13
Tân Bình,2,"[106.661079406738,10.7962923049927 106.659378051758,10.798833847046 106.663589477539,10.8026838302612 106.664619445801,10.8077411651611 106.664764404297,10.8094377517701 106.661651611328,10.8098335266114 106.66170501709,10.8165454864502 106.660606384277,10.8173961639404 106.666404724121,10.819513320923 106.667556762695,10.8161220550538 106.669853210449,10.816921234131 106.669853210449,10.8162717819214 106.674186706543,10.8179798126221 106.675628662109,10.8165054321289 106.676048278809,10.8148527145386 106.674987792969,10.8151292800903 106.672798156738,10.8141279220581 106.672065734863,10.8125867843628 106.672409057617,10.810667037964 106.671653747559,10.8093919754028 106.670738220215,10.809853553772 106.671035766602,10.8078775405885 106.669998168945,10.8077182769777 106.669425964356,10.8066549301148 106.669044494629,10.8033266067505 106.668251037598,10.802960395813 106.667152404785,10.8002443313599 106.665504455566,10.8003787994385 106.663986206055,10.7956295013427 106.66333770752,10.7945938110352 106.661842346192,10.796600341797 106.661079406738,10.7962923049927]",,OK,
Tân Bình,3,"[106.666000366211,10.7907333374023 106.66178894043,10.7917346954346 106.659317016602,10.7933101654054 106.660186767578,10.7958955764771 106.661079406738,10.7962923049927 106.661842346192,10.796600341797 106.66333770752,10.7945938110352 106.663986206055,10.7956295013427 106.665924072266,10.7910060882569 106.666000366211,10.7907333374023]",,OK,
Tân Bình,4,"[106.652137756348,10.7935628890991 106.654670715332,10.7965078353882 106.654273986816,10.797950744629 106.655426025391,10.798734664917 106.653762817383,10.7989559173585 106.653938293457,10.8013648986816 106.65754699707,10.8010482788086 106.657325744629,10.8034620285035 106.65860748291,10.8033046722412 106.658851623535,10.8052263259888 106.661109924316,10.8044996261598 106.661628723145,10.8080253601074 106.664619445801,10.8077411651611 106.663589477539,10.8026838302612 106.659378051758,10.798833847046 106.661079406738,10.7962923049927 106.660186767578,10.7958955764771 106.659317016602,10.7933101654054 106.657699584961,10.7905988693237 106.65340423584,10.792881011963 106.652137756348,10.7935628890991]",,OK,
